id,user_id,category,severity,description,latitude,longitude,status,reliability,created_at
REP-0160,USR-015,Unsafe Crowd,MEDIUM,Rowdy unorganized group blocking pedestrian walkway.,37.767507,-122.421066,PENDING,0.8,2026-08-20T19:24:59.769302Z
REP-0161,USR-011,Accident,HIGH,"Two-wheeler skid due to loose gravel, slow traffic.",37.784961,-122.400823,REJECTED,0.8,2026-08-16T18:13:56.627393Z
REP-0162,USR-006,Accident,MEDIUM,"Two-wheeler skid due to loose gravel, slow traffic.",37.788503,-122.431377,PENDING,0.8,2026-08-18T13:08:27.368943Z
REP-0163,USR-002,Isolated Area,HIGH,"No open shops, deserted street after 9 PM, no security presence.",37.78506,-122.413915,PENDING,0.8,2026-08-18T18:40:47.935267Z
REP-0164,USR-004,Suspicious Activity,MEDIUM,Unmarked vehicles parked with headlights off in quiet alleyway.,37.767548,-122.420918,VERIFIED,0.5,2026-07-30T02:18:49.543804Z
REP-0165,USR-015,Unsafe Crowd,MEDIUM,Rowdy unorganized group blocking pedestrian walkway.,37.77269,-122.434989,PENDING,0.5,2026-08-18T13:44:13.818110Z
REP-0166,USR-008,Poor Lighting,MEDIUM,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.788565,-122.396668,VERIFIED,0.8,2026-08-21T07:03:18.446356Z
REP-0167,USR-008,Accident,MEDIUM,"Two-wheeler skid due to loose gravel, slow traffic.",37.781782,-122.424571,VERIFIED,0.8,2026-08-14T08:48:24.820470Z
REP-0168,USR-006,Other,LOW,Broken glass bottles scattered across cycling path.,37.760485,-122.427917,PENDING,0.8,2026-08-10T00:12:02.998575Z
REP-0169,USR-005,Road Blocked,MEDIUM,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.761215,-122.435333,VERIFIED,0.5,2026-08-20T11:22:50.642785Z
REP-0170,USR-008,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.79141,-122.428265,PENDING,0.8,2026-08-16T00:00:42.472772Z
REP-0171,USR-004,Road Blocked,MEDIUM,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.78489,-122.400743,VERIFIED,0.8,2026-08-19T00:49:07.907481Z
REP-0172,USR-005,Suspicious Activity,HIGH,Unmarked vehicles parked with headlights off in quiet alleyway.,37.794052,-122.396601,PENDING,0.8,2026-08-19T13:03:46.125773Z
REP-0173,USR-008,Road Blocked,CRITICAL,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.781578,-122.397354,PENDING,0.5,2026-08-19T19:18:54.794916Z
REP-0174,USR-014,Unsafe Crowd,MEDIUM,Rowdy unorganized group blocking pedestrian walkway.,37.772782,-122.434775,VERIFIED,0.8,2026-07-25T17:08:06.984530Z
REP-0175,USR-008,Road Blocked,HIGH,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.785157,-122.400699,VERIFIED,1.0,2026-08-19T11:15:53.854417Z
REP-0176,USR-010,Suspicious Activity,HIGH,Unmarked vehicles parked with headlights off in quiet alleyway.,37.757632,-122.404172,VERIFIED,1.0,2026-08-11T14:58:58.899962Z
REP-0177,USR-005,Road Blocked,HIGH,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.761491,-122.414052,VERIFIED,0.8,2026-08-17T16:06:50.131343Z
REP-0178,USR-011,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.773172,-122.393175,VERIFIED,0.5,2026-08-15T14:55:35.599094Z
REP-0179,USR-013,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.79444,-122.431788,VERIFIED,0.5,2026-08-16T13:43:50.920913Z
REP-0180,USR-005,Harassment,CRITICAL,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.782252,-122.410098,REJECTED,0.8,2026-08-18T13:34:17.600830Z
REP-0181,USR-014,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.766815,-122.393901,VERIFIED,0.8,2026-08-20T03:01:54.130893Z
REP-0182,USR-009,Other,MEDIUM,Broken glass bottles scattered across cycling path.,37.781217,-122.431356,REJECTED,1.0,2026-07-25T03:48:01.510073Z
REP-0183,USR-005,Isolated Area,HIGH,"No open shops, deserted street after 9 PM, no security presence.",37.788344,-122.431287,VERIFIED,1.0,2026-08-11T08:42:13.994706Z
REP-0184,USR-001,Isolated Area,MEDIUM,"No open shops, deserted street after 9 PM, no security presence.",37.784304,-122.434166,VERIFIED,0.5,2026-08-15T16:52:42.196265Z
REP-0185,USR-013,Other,CRITICAL,Broken glass bottles scattered across cycling path.,37.767066,-122.434673,VERIFIED,0.8,2026-08-21T06:04:44.306235Z
REP-0186,USR-012,Isolated Area,MEDIUM,"No open shops, deserted street after 9 PM, no security presence.",37.790638,-122.435293,VERIFIED,1.0,2026-08-16T20:10:09.878329Z
REP-0187,USR-013,Road Blocked,HIGH,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.778563,-122.435039,VERIFIED,1.0,2026-08-11T15:56:39.319677Z
REP-0188,USR-008,Other,CRITICAL,Broken glass bottles scattered across cycling path.,37.778748,-122.421474,VERIFIED,1.0,2026-08-20T03:45:34.392650Z
REP-0189,USR-008,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.773023,-122.407209,VERIFIED,1.0,2026-08-13T22:36:34.438216Z
